year,doy,date,block,treatment,tussock,moisture,TOC,TN,mbc,mbn,labile,nh4,no3,tfpa,po4,TRS,BG,NAG,PHOS,LAP,PHENOX,root_phos,CO2,soil_percentc,soil_percentn,leaf_percentc,leaf_percentn,rhizome_percentc,rhizome_percentn,root_percentc,root_percentn,soil_d15N,leaf_d15N
2010,216,2010-08-04,3,C.N,I,0.805,712.9778652,72.22443234,3487.590394,344.3322695,0.654748412,0,0.041629326,0.613119086,0,,355.8170939,332.0357484,1134.129358,47.63369363,2.998060209,,,,,,,,,,,,
2010,216,2010-08-04,4,C.N,I,0.276,41.46899535,3.604761852,216.4932318,17.40612728,1.23378089,0,0.095304706,1.138476184,0,,42.40671114,19.57232822,71.33802964,3.204307886,0.092783663,,,,,,,,,,,,
2010,216,2010-08-04,5,C.N,I,0.453,127.5736759,9.116449338,759.6418134,44.97295586,3.958684578,1.479170973,0.84961496,1.629898645,0,,36.65201412,20.76530493,197.0827585,5.115549936,0.029968792,,,,,,,,,,,,
2011,152,2011-06-01,1,C.N,I,0.85446,1035.124523,91.77590593,3103.635345,328.578857,20.73798746,12.10588962,1.34264117,7.289456677,0,58.95857239,107.9101934,94.97021304,1244.086684,38.01371606,1.466697468,,2.8689147,43.65101551,1.64328376,,,,,,,-1.01416,
2011,152,2011-06-01,2,C.N,I,0.87638,1108.353296,125.184981,4976.890297,443.2615548,29.58609143,15.68668889,5.776225881,8.123176663,25.3655723,87.3009292,421.6374919,189.8817187,2124.252348,44.83355764,7.372102377,,5.0196975,42.32,1.465,,,,,,,,
2011,152,2011-06-01,3,C.N,I,0.81312,1466.46298,186.2488983,3216.12369,311.3240958,79.6419846,55.53505896,9.605887546,14.50103809,20.413532,88.43755616,373.9191108,201.8501394,1703.924019,41.38316097,5.016626047,,3.8011285,37.58,1.8,,,,,,,,
2011,152,2011-06-01,4,C.N,I,0.8438,902.7057016,92.67667429,3086.323774,286.9847855,26.17803634,12.19754009,7.007680283,6.972815971,5.83611946,60.78081737,445.2531917,204.6918918,1219.989449,32.07022311,1.035504009,,3.5841652,37.9,1.227,,,,,,,,
2011,152,2011-06-01,5,C.N,I,0.8414,1126.544324,143.5856209,2629.16705,217.9477743,72.5062294,18.18994836,47.71116414,6.605116899,35.1066461,69.59241942,272.8164058,117.1291769,1186.811991,34.67013938,1.486229917,,3.1527859,40.59,1.429,,,,,,,,
2011,162,2011-06-11,1,C.N,I,0.85557,1651.812429,163.6258949,5178.981556,471.6003524,51.21406158,18.61465273,22.06127948,10.53812936,51.53400169,144.3557186,667.875958,749.0371366,2890.515104,32.4339409,1.426611585,,11.2552266,44.05695342,1.557205308,,,,,,,-0.674886,
2011,162,2011-06-11,2,C.N,I,0.87651,1004.603428,88.57059363,3303.487786,303.193467,42.3382878,15.15387269,23.95250296,3.231912138,68.80573295,298.0087944,676.8001178,1133.035911,3136.621082,35.92663708,0.195869717,,10.7443358,45.68,1.06,,,,,,,,
2011,162,2011-06-11,3,C.N,I,0.80366,864.5063349,72.99399489,3297.890542,293.4055737,52.11189676,20.35112759,27.89370321,3.867065961,37.80355521,100.5505157,455.4634933,496.8177657,2411.860476,30.18807239,0.124334898,,7.8000323,39.33,1.458,,,,,,,,
2011,162,2011-06-11,4,C.N,I,0.86887,1632.108707,109.6608817,7077.699603,480.2938832,23.18231972,11.75367739,6.371889182,5.056753146,21.91630338,181.890635,543.4117759,873.5860196,2788.940564,32.35049509,0.893253976,,8.9434318,44.8,0.9573,,,,,,,,
2011,162,2011-06-11,5,C.N,I,0.85892,1354.568387,92.59254355,3291.558752,261.5612811,33.4786065,19.0731763,10.66861097,3.736819228,83.69458415,154.9668183,785.6266477,392.5104608,2498.316969,25.84670833,0.3492469,,9.2132558,44.07,1.346,,,,,,,,
2011,173,2011-06-22,1,C.N,I,0.75783,732.9942021,60.83831338,2435.064612,235.0846588,34.23556335,28.55038651,0,5.685176837,56.02995776,60.61119026,301.8092409,330.6061285,1378.232436,35.48843953,0.462638835,,0.4960711,17.8204611,0.596946736,,,,,,,-0.96637,
2011,173,2011-06-22,2,C.N,I,0.81666,697.3077278,41.51733754,2324.378004,203.3183452,12.81691336,10.19055339,0,2.626359974,39.86346977,77.3616302,457.7983216,257.5513506,2451.354017,51.56716387,2.716541038,,0.8882715,40.85,1.161,,,,,,,,
2011,173,2011-06-22,3,C.N,I,0.89248,1616.734315,112.7588686,6954.232947,649.7063845,22.43329294,16.53292048,0,5.900372455,221.8860792,221.7114928,1216.347094,788.5522921,4499.102035,80.07834153,3.527274172,,2.6781698,40.91,1.263,,,,,,,,
2011,173,2011-06-22,4,C.N,I,0.8205,1006.567856,138.006497,2253.45793,292.9864994,55.59565328,46.48916387,0.591778166,8.514711243,38.23534286,70.08368552,320.5848313,160.6583801,1620.490449,99.83414231,5.552897828,,1.1450262,39.41,1.803,,,,,,,,
2011,173,2011-06-22,5,C.N,I,0.82916,785.0978189,48.87373464,2889.093803,296.5802691,11.72681861,8.693996932,0,3.032821682,15.62566018,92.65502507,461.1917918,205.9349459,2543.600841,69.90988923,0.930937596,,0.6861525,40.67,1.186,,,,,,,,
2011,181,2011-06-30,1,C.N,I,0.77516,741.0286712,60.9499301,4125.234681,334.3237529,36.47061842,18.67784613,14.12698374,3.665788545,18.64075098,82.38309024,187.3984611,420.7577914,2466.397361,70.33125291,1.396628551,,3.4257246,43.14749674,1.391384465,,,,,,,-3.90736,
2011,181,2011-06-30,2,C.N,I,0.77899,482.5332464,50.85086533,3501.32489,291.7027437,26.82598137,22.60316844,0,4.222812933,14.53920918,53.83844631,640.8425412,531.2247381,2428.143644,32.32429862,0.048697853,,2.596274,43,1.283,,,,,,,,
2011,181,2011-06-30,3,C.N,I,0.74086,535.790667,56.61143077,3340.195505,309.8786822,18.62205787,11.72665871,0,6.895399166,18.82456752,7.452777406,168.7009753,112.2786133,1156.941476,34.81551589,2.672733663,,2.4500948,35.87,1.799,,,,,,,,
2011,181,2011-06-30,4,C.N,I,0.8177,1128.583936,74.70652896,4102.314627,300.7137154,29.68336924,6.497147788,20.36961685,2.816604605,8.163506644,115.1825342,172.0377935,528.9073304,2376.680341,58.75688498,0.076402721,,5.3611226,43.83,1.28,,,,,,,,
2011,181,2011-06-30,5,C.N,I,0.7677,493.8334112,43.99946081,1563.627118,163.8381613,17.08229415,14.21486998,0,2.867424174,27.46486551,21.18345338,130.0296821,55.06854072,895.4096203,26.71235131,0,,1.0038897,38.29,1.651,,,,,,,,
2011,192,2011-07-11,1,C.N,I,0.69128,465.1928598,54.8398046,3060.897031,323.1790127,14.34242358,7.965197855,2.323505424,4.053720304,8.697640464,37.92317113,115.8111863,145.4891974,1908.095286,11.47615204,0.165433051,,0.7216147,24.34258147,1.146780963,,,,,,,0.556925,
2011,192,2011-07-11,2,C.N,I,0.76535,691.3986868,52.56260492,2793.105758,334.7302954,16.76018382,14.82941051,0,1.930773304,19.34624222,51.96717265,377.6341074,181.8942142,1574.335146,9.428538379,0,,0.6729369,36.03,1.161,,,,,,,,
2011,192,2011-07-11,3,C.N,I,0.69855,642.8497604,47.03183415,3167.0884,332.7271162,6.719522666,3.077467801,0,3.642054865,0,75.03618617,263.3972927,210.4165217,1508.319864,10.98881431,0.379304691,,1.6198794,31.67,1.198,,,,,,,,
2011,192,2011-07-11,4,C.N,I,0.78735,653.5564861,37.929804,5335.870409,310.081735,8.136076127,6.099635507,0,2.03644062,28.10955173,130.1066261,262.5688421,420.1101474,3175.091088,10.33338549,0.008364185,,1.4635862,41.78,0.9818,,,,,,,,
2011,192,2011-07-11,5,C.N,I,0.81995,693.7501237,48.61360008,2236.62867,181.5536117,14.48928505,0.508410115,10.42403938,3.556835553,0,152.6563388,318.788795,184.616116,1706.498038,10.29431559,0.129833179,,2.6924624,40.94,1.138,,,,,,,,
2011,202,2011-07-21,1,C.N,I,0.85369,880.7132989,51.28943079,3436.114376,326.7596544,4.092687497,2.680159863,0,1.412527634,37.70448291,125.059326,111.7005142,398.1628457,2087.527079,18.68175685,0.455908509,,4.3291433,45.61433617,1.077599104,,,,,,,-6.01826,
2011,202,2011-07-21,2,C.N,I,0.76534,470.4605105,40.51216334,2796.504948,328.6600212,11.92814611,9.748293633,0,2.17985248,22.33375688,51.51041746,216.7908391,183.2995623,1201.273937,17.09729903,1.986749216,,2.2895295,34.03,1.048,,,,,,,,
2011,202,2011-07-21,3,C.N,I,0.65244,408.8602182,52.89314236,1192.157676,124.4446677,29.78357488,25.16517739,0,4.618397494,16.84650144,27.58752285,107.6889654,60.15288957,354.2903242,16.32726234,0.377650498,,1.1330654,25.95,1.31,,,,,,,,
2011,202,2011-07-21,4,C.N,I,0.84909,558.6237222,29.48728987,4001.277105,330.9092769,6.998790991,5.380514979,0,1.618276013,40.92515822,81.2605012,578.3750418,275.5310267,1328.431725,36.82240703,1.394158524,,4.3754892,43.55,1.022,,,,,,,,
2011,202,2011-07-21,5,C.N,I,0.8309,600.1560074,44.33467889,2386.784659,244.4962469,8.264934313,6.078907697,0,2.186026616,34.68281074,76.23712351,467.7866482,200.0356204,1109.288441,33.33559022,0.323772069,,2.9348947,40.39,1.347,,,,,,,,
2011,213,2011-08-01,1,C.N,I,0.80465,674.1068977,65.5904176,2220.769489,244.1112269,13.36648885,8.289909312,0,5.07657954,0,45.59213655,423.5527409,221.9840173,2068.146788,71.18777333,4.631790503,,3.5851804,35.06343577,1.573088477,,,,,,,-0.416892,
2011,213,2011-08-01,2,C.N,I,0.79859,643.6630324,61.78198526,1585.146038,134.0508033,13.68891989,7.298593017,0,6.390326877,31.05183181,58.50096776,687.2700392,290.9226752,1708.745617,39.84146573,,,3.3938683,33.61,1.691,,,,,,,,
2011,213,2011-08-01,3,C.N,I,0.75068,649.1579454,62.06135977,993.9002437,112.0358807,21.42888521,16.09675847,0,5.332126735,24.15860423,61.21638154,405.5016721,166.0273208,1510.293138,33.68553934,1.905007535,,1.0909059,29.89,1.528,,,,,,,,
2011,213,2011-08-01,4,C.N,I,0.81999,869.9856911,77.52213137,883.5217577,105.51957,18.02858441,5.440530817,7.555632556,5.032421041,47.53247591,69.7195456,160.7184686,422.630047,2436.688067,63.46869798,2.307245927,,2.9516459,38.7,1.569,,,,,,,,
2011,213,2011-08-01,5,C.N,I,0.75986,524.0214322,47.30634372,1261.64958,104.1695379,17.57332016,12.47033789,0,5.10298227,22.28658521,54.70609413,339.6534209,139.2191588,601.5610777,5.429382303,0,,1.1638298,38.56,1.7,,,,,,,,
2011,224,2011-08-12,1,C.N,I,0.782,487.1362815,54.21651555,2289.687147,301.3263248,27.86874512,23.51854208,0,4.350203046,0,30.05936303,69.10650286,50.02802048,441.7728588,30.56532208,4.401308549,,1.4425933,42.32817697,1.663103761,,,,,,,-0.642288,
2011,224,2011-08-12,2,C.N,I,0.731,298.3298713,21.68822371,3562.784247,230.736353,13.34757636,6.02171984,5.744652116,1.581204402,0,138.1162638,212.7631983,502.1418549,1103.676737,13.38661854,0.018363602,,1.3221474,38.38,0.9488,,,,,,,,
2011,224,2011-08-12,3,C.N,I,0.706,579.4103832,55.08926016,2508.860727,274.7182663,15.17462194,9.228663966,1.386311426,4.55964655,29.33161814,38.89760334,337.0152633,264.1638316,1097.518169,26.83826222,0.217438574,,0.8207174,36.06,1.382,,,,,,,,
2011,224,2011-08-12,4,C.N,I,0.805,604.8743993,50.3504026,2556.824008,212.0117146,7.595002794,3.598871005,0.813384614,3.182747176,40.72539074,51.62591777,142.7453873,100.2772315,926.8160534,53.98427797,0.505156944,,1.4299354,40.26,1.223,,,,,,,,
2011,224,2011-08-12,5,C.N,I,0.755,557.8330251,28.21503757,1404.894281,126.0848737,9.753022205,6.387077526,0,3.365944679,0,30.78891053,220.0841109,71.65529193,688.958956,20.3662675,0,,0.5809613,38.02,2.018,,,,,,,,
2011,237,2011-08-25,1,C.N,I,0.751,497.8543809,40.67766233,901.8621858,71.91810366,9.24498218,5.728008643,0,3.516973537,25.66835907,48.51449173,366.2586171,198.8993244,1733.124737,65.49830603,2.518733254,,0.6772596,40.78354314,1.933379173,,,,,,,1.50015,
2011,237,2011-08-25,2,C.N,I,0.8,645.7899227,67.42636803,1565.356312,177.9920442,13.26671425,8.476844797,0,4.789869455,32.41731628,22.31904976,83.72628044,112.3377792,1557.670225,49.11670894,1.209297372,,1.0254756,35.81,1.428,,,,,,,,
2011,237,2011-08-25,3,C.N,I,0.77,544.25973,52.13738191,1513.152357,134.936914,9.04843796,4.569850086,0,4.478587873,14.95635502,31.44866501,462.7671506,220.5600193,2617.857416,48.0738755,0.536802779,,0.7716495,39.86,1.385,,,,,,,,
2011,237,2011-08-25,4,C.N,I,0.789,437.0377085,35.16797376,3303.123845,238.5810337,9.199249883,7.219855379,0,1.979394504,38.31407365,69.2482793,165.3777301,533.0379523,2629.394917,27.70787912,0.073495904,,1.8071087,42.46,1.147,,,,,,,,
2011,237,2011-08-25,5,C.N,I,0.825,558.4554366,56.45325932,1857.830197,207.7262472,6.864866744,2.685364213,0,4.179502532,25.02106731,11.52198306,324.9063712,133.0300653,1679.621954,58.2672342,1.230386052,,1.1256541,39.31,1.832,,,,,,,,
2011,245,2011-09-02,1,C.N,I,0.839,728.3967161,44.90605058,3747.921445,276.7784291,2.082080944,0,0,2.082080944,12.85467284,160.6228012,371.2489638,308.511239,2799.747108,41.99217484,0.884459285,,2.6578991,28.10896377,0.8120603,,,,,,,-4.87857,
2011,245,2011-09-02,2,C.N,I,0.797435897,1407.225861,80.37140695,7441.377794,468.2681017,9.201509588,2.707628471,2.742037313,3.751843805,21.71153645,151.0359443,1083.032529,1000.410065,2855.099418,29.97055596,0.373456636,,4.0296222,41.39,1.273,,,,,,,,
2011,245,2011-09-02,3,C.N,I,0.802,774.9694625,77.05114093,3939.988978,349.8482768,9.002079775,3.388272344,0.935817514,4.677989918,20.96059217,59.02637659,441.1123192,276.9325835,1752.135797,35.37667905,1.093755258,,1.7989234,40.43,1.775,,,,,,,,
2011,245,2011-09-02,4,C.N,I,0.764,1057.758001,80.95001636,4065.030375,304.8160841,19.23812763,10.26939957,3.899964088,5.068763972,42.9483977,112.9514597,192.1787499,1102.385015,1951.33261,33.90143456,0.277806725,,2.1468176,40.96,1.745,,,,,,,,
2011,245,2011-09-02,5,C.N,I,0.794,796.2463979,51.48180422,3012.234777,222.6094272,4.936739208,1.478272052,0.898234858,2.560232297,16.05896027,106.2132377,454.1941801,565.9633805,2283.624017,20.96608242,0.231857495,,1.8982717,42.41,1.183,,,,,,,,
2012,146,2012-05-25,1,A.N,I,0.831,465.8854665,52.29402998,2819.447135,149.4879608,8.261428638,3.912184751,0,4.349243887,7.939900278,,323.5119127,80.35606844,669.9137248,18.62984275,0.066040228,,0.91338931,39.84,1.986,,,,,,,,
